objectid,altnumtype,altnum
3380,Old Accession Number,B-2723
3385,Old Accession Number,B-2728
3394,Old Accession Number,B-2737
3399,Old Accession Number,B-2742
3400,Old Accession Number,B-2743
3403,Old Accession Number,B-2746
3404,Old Accession Number,B-2747
3418,Old Accession Number,B-2761
3421,Old Accession Number,B-2764
3426,Old Accession Number,B-2769
3428,Old Accession Number,B-2771
3430,Old Accession Number,B-2773
3440,Old Accession Number,B-2783
3445,Old Accession Number,B-2788
3446,Old Accession Number,B-2789
3447,Old Accession Number,B-2790
3448,Old Accession Number,B-2791
3449,Old Accession Number,B-2792
3455,Old Accession Number,B-2798
3456,Old Accession Number,B-2799
3461,Old Accession Number,B-2804
3462,Old Accession Number,B-2805
3465,Old Accession Number,B-2808
3468,Old Accession Number,B-2811
3470,Old Accession Number,B-2813
3477,Old Accession Number,B-2820
3480,Old Accession Number,B-2823
3495,Old Accession Number,B-2838
3499,Old Accession Number,B-2842
3503,Old Accession Number,B-2846
3505,Old Accession Number,B-2848
3510,Old Accession Number,B-2853
3514,Old Accession Number,B-2857
3515,Old Accession Number,B-2858
3520,Old Accession Number,B-2863
3525,Old Accession Number,B-2868
3531,Old Accession Number,B-2874
3536,Old Accession Number,B-2879
3537,Old Accession Number,B-2880
3542,Old Accession Number,B-2885
3545,Old Accession Number,B-2888
3547,Old Accession Number,B-2890
3550,Old Accession Number,B-2893
3560,Old Accession Number,B-2903
3561,Old Accession Number,B-2904
3578,Old Accession Number,B-2921
3582,Old Accession Number,B-2925
3585,Old Accession Number,B-2928
3590,Old Accession Number,B-2933
3597,Old Accession Number,B-2940
3599,Old Accession Number,B-2942
3602,Old Accession Number,B-2945
3605,Old Accession Number,B-2948
3608,Old Accession Number,B-2951
3611,Old Accession Number,B-2954
3612,Old Accession Number,B-2955
3614,Old Accession Number,B-2958
3616,Old Accession Number,B-2960
3622,Old Accession Number,B-2966
3628,Old Accession Number,B-2971
3630,Old Accession Number,B-2973
3631,Old Accession Number,B-2974
3632,Old Accession Number,B-2975
3634,Old Accession Number,B-2977
3635,Old Accession Number,B-2978
3644,Old Accession Number,B-2987
3649,Old Accession Number,B-2992
3651,Old Accession Number,B-2994
3653,Old Accession Number,B-2996
3654,Old Accession Number,B-2997
3656,Old Accession Number,B-2999
3665,Old Accession Number,B-3008
3666,Old Accession Number,B-3009
3682,Old Accession Number,B-3025
3686,Old Accession Number,B-3029
3688,Old Accession Number,B-3031
3691,Old Accession Number,B-3034
3703,Old Accession Number,B-3046
3704,Old Accession Number,B-3047
3705,Old Accession Number,B-3048
3706,Old Accession Number,B-3049
3710,Old Accession Number,B-3053
3716,Old Accession Number,B-3059
3725,Old Accession Number,B-3068
3727,Old Accession Number,B-3070
3728,Old Accession Number,B-3071
3730,Old Accession Number,B-3073
3732,Old Accession Number,B-3075
3733,Old Accession Number,B-3076
3735,Old Accession Number,B-3078
3736,Old Accession Number,B-3079
3737,Old Accession Number,B-3080
3741,Old Accession Number,B-3084
3752,Old Accession Number,B-3095
3754,Old Accession Number,B-3097
3757,Old Accession Number,B-3100
3760,Old Accession Number,B-3103
3763,Old Accession Number,B-3106
3770,Old Accession Number,B-3113
3771,Old Accession Number,B-3114
3782,Old Accession Number,B-3125
3785,Old Accession Number,B-3127
3790,Old Accession Number,B-3132
3792,Old Accession Number,B-3133
3795,Old Accession Number,B-3136
3798,Old Accession Number,B-3139
3805,Old Accession Number,B-3146
3809,Old Accession Number,B-3150
3816,Old Accession Number,B-3157
3820,Old Accession Number,B-3161
3824,Old Accession Number,B-3165
3835,Old Accession Number,B-3175
3842,Old Accession Number,B-3182
3843,Old Accession Number,B-3183
3852,Old Accession Number,B-3192
3861,Old Accession Number,B-3201
3869,Old Accession Number,B-3209
3872,Old Accession Number,B-3212
3874,Old Accession Number,B-3214
3878,Old Accession Number,B-3218
3884,Old Accession Number,B-3224
3885,Old Accession Number,B-3225
3894,Old Accession Number,B-3234
3896,Old Accession Number,B-3236
3897,Old Accession Number,B-3237
3901,Old Accession Number,B-3241
3902,Old Accession Number,B-3242
3905,Old Accession Number,B-3245
3906,Old Accession Number,B-3246
3919,Old Accession Number,B-3259
3923,Old Accession Number,B-3263
3924,Old Accession Number,B-3264
3927,Old Accession Number,B-3267
3931,Old Accession Number,B-3271
3934,Old Accession Number,B-3273
3936,Old Accession Number,B-3274
3940,Old Accession Number,B-3278
3949,Old Accession Number,B-3287
3960,Old Accession Number,B-3298
3965,Old Accession Number,B-3303
3980,Old Accession Number,B-3318
3983,Old Accession Number,B-3321
3984,Old Accession Number,B-3322
3989,Old Accession Number,B-3327
3990,Old Accession Number,B-3328
3996,Old Accession Number,B-3334
3997,Old Accession Number,B-3335
4001,Old Accession Number,B-3339
4004,Old Accession Number,B-3342
4007,Old Accession Number,B-3345
4012,Old Accession Number,B-3350
4014,Old Accession Number,B-3352
4019,Old Accession Number,B-3357
4021,Old Accession Number,B-3359
4022,Old Accession Number,B-3360
