uuid,idschemelabel,identifier
00598a80-9577-47b7-8ae3-7612192bd159,Wikidata ID,Q5390252
0059fe29-4b47-4be4-91f6-c0699380085c,Wikidata ID,Q64619420
005ac009-28d6-4139-bd5f-3dd897253665,Wikidata ID,Q77258530
005b5c13-d817-4c91-bbb2-c705a14bba8d,Wikidata ID,Q77014072
005bbf2f-2a9f-405b-9d34-93ff1df9b491,Wikidata ID,Q64164981
005c2508-0fb7-4279-8a24-024b649834b7,ULAN ID,500026877
005c2508-0fb7-4279-8a24-024b649834b7,Wikidata ID,Q4821560
005c3d4b-1ef4-490b-b391-bfabb4bfae03,Old Accession Number,B-8763
005c3d4b-1ef4-490b-b391-bfabb4bfae03,Wikidata ID,Q65021014
005c4a39-5955-4ce9-9b32-879299dc43ca,Old Accession Number,B-3955
005c4a39-5955-4ce9-9b32-879299dc43ca,Wikidata ID,Q64952368
005cd78b-c6b1-44a4-8c6d-a97ace914dca,Wikidata ID,Q54944087
005f0c0c-7676-4aef-aefa-68626991695f,Wikidata ID,Q64074364
005f31a7-74b1-4475-bd97-418eba492112,Old Accession Number,I-15760
005f31a7-74b1-4475-bd97-418eba492112,Wikidata ID,Q64582187
005f9fb3-27e2-47d3-9390-afc3adfc3767,Wikidata ID,Q64596049
005f9fde-5410-43e5-ac56-03a2dfd1871f,Wikidata ID,Q64620600
00607a8a-db18-4cda-ba56-a7b68d9df9da,ULAN ID,500162299
00607a8a-db18-4cda-ba56-a7b68d9df9da,Wikidata ID,Q1337151
0060a580-6c7f-4d6d-9964-001bd09c6698,Old Accession Number,B-14758
0060a580-6c7f-4d6d-9964-001bd09c6698,Wikidata ID,Q65069181
006308f6-7f21-44ee-9cff-0dbacb07c39f,Wikidata ID,Q529001
00633fab-1237-42ed-9a23-63b08a4c605b,ULAN ID,500016308
00633fab-1237-42ed-9a23-63b08a4c605b,Wikidata ID,Q21497538
006386d6-f1f3-4cc4-a68a-e03890028e62,Old Accession Number,I-9970
006386d6-f1f3-4cc4-a68a-e03890028e62,Wikidata ID,Q64607874
0063c37a-64a6-4b00-a153-8554e13540d7,Old Accession Number,B-30593
0063c37a-64a6-4b00-a153-8554e13540d7,Wikidata ID,Q65574576
0063e0e1-b493-4663-859a-a5352032f9a5,Wikidata ID,Q64580176
0063f175-4d95-4183-8688-50f92da40406,Old Accession Number,B-11099
0063f175-4d95-4183-8688-50f92da40406,Wikidata ID,Q65019640
0064fb73-4b1c-4199-98fa-a3193c832037,Old Accession Number,B-34174
0064fb73-4b1c-4199-98fa-a3193c832037,Wikidata ID,Q74032692
00652ea4-f4d0-4ad7-b64f-c25a17288812,Wikidata ID,Q64155987
00659eeb-9299-4b87-abe3-6df4f80613d3,ULAN ID,500013049
00659eeb-9299-4b87-abe3-6df4f80613d3,Wikidata ID,Q322471
0065a2b4-aa84-4013-9b7c-7e9853291ff1,Old Accession Number,1018
0065a2b4-aa84-4013-9b7c-7e9853291ff1,Wikidata ID,Q20184383
0065fc6a-ee62-437d-821c-36ec1e7f2c59,Wikidata ID,Q76342727
00675156-bf83-478a-8b7e-0f70dc512306,Old Accession Number,B-27198
00675156-bf83-478a-8b7e-0f70dc512306,Wikidata ID,Q65576152
00677a6b-5538-494b-8100-882951d20322,Old Accession Number,I-17768
00677a6b-5538-494b-8100-882951d20322,Wikidata ID,Q64561207
0067a40d-60fe-428e-ba59-92197c46d386,Wikidata ID,Q64595752
0067d511-bb44-4ac5-88ee-9865ea781857,Old Accession Number,I-9574
0067d511-bb44-4ac5-88ee-9865ea781857,Wikidata ID,Q64569806
006a320b-4f5f-45e3-82f2-d4d6c6d0245e,Old Accession Number,B-11509
006a320b-4f5f-45e3-82f2-d4d6c6d0245e,Wikidata ID,Q65025987
006b4994-c064-4db6-8f1c-87c03ff4112e,Old Accession Number,B-10033
006b4994-c064-4db6-8f1c-87c03ff4112e,Wikidata ID,Q65026320
006c4976-5322-4086-a50a-5a0ac27808a6,ULAN ID,500021704
006c4976-5322-4086-a50a-5a0ac27808a6,Wikidata ID,Q71592
006dc54d-316c-4d2b-82c6-3d16039b499b,Key Set Number,913
006dc54d-316c-4d2b-82c6-3d16039b499b,Old Accession Number,D-877
006dc54d-316c-4d2b-82c6-3d16039b499b,Stieglitz Estate Number,161E
006dc54d-316c-4d2b-82c6-3d16039b499b,Wikidata ID,Q64035955
006e2edb-a4cf-4b97-9fd3-08b024e34dfb,Wikidata ID,Q37766308
006eb304-4a02-4a37-b502-e99837e2862e,ULAN ID,500017628
006eb304-4a02-4a37-b502-e99837e2862e,Wikidata ID,Q6790646
006ecdea-5700-4f3d-877d-e79102aac5c2,Wikidata ID,Q46637919
006f6043-bf1b-4712-baf8-d7b71a1a7026,Wikidata ID,Q104819207
006fc92d-fb7e-4ff6-97f8-e64cad081e60,Wikidata ID,Q74873809
0071f157-04c4-4806-8025-d0e74db44c26,Wikidata ID,Q76555571
007221d3-8c15-4e9e-ad96-ddd4b79deae9,Wikidata ID,Q64632534
00739097-e500-4687-9c40-5505ebc942e0,Old Accession Number,I-4025
00739097-e500-4687-9c40-5505ebc942e0,Wikidata ID,Q64618137
0073ca10-9718-4641-ba09-c482bcbe33be,Wikidata ID,Q64146512
0073e3a9-b1d4-47dd-b916-b1f8c23ecc0e,Wikidata ID,Q21795267
00745d05-019e-4dd0-8c6e-34ad0caca38d,Old Accession Number,C-606
00745d05-019e-4dd0-8c6e-34ad0caca38d,Wikidata ID,Q62758892
0074edfa-0c38-4e75-aaba-6ea56c268443,Wikidata ID,Q77261931
0075ee45-4482-4f9d-9865-83f835877578,Old Accession Number,B-2676
0075ee45-4482-4f9d-9865-83f835877578,Wikidata ID,Q64958485
0075fab8-d2ba-4728-8956-6caa9a207f51,Wikidata ID,Q64579504
00762554-8d25-454c-a67c-23f490f43b18,Wikidata ID,Q64170328
0077526f-ba73-48f2-81c7-2de8c33b749d,Old Accession Number,B-21866
0077526f-ba73-48f2-81c7-2de8c33b749d,Wikidata ID,Q65357126
00785da2-34ab-4553-b0b4-be31cf8b2251,Old Accession Number,I-2909
00785da2-34ab-4553-b0b4-be31cf8b2251,Wikidata ID,Q64538134
0078fb76-18bb-40bb-9378-5fc8f36957a3,Wikidata ID,Q64073559
00794610-222e-40b1-91bc-46bd869bc79c,Old Accession Number,I-4478
00794610-222e-40b1-91bc-46bd869bc79c,Wikidata ID,Q64555911
