objectid,element,dimensiontype,dimension,unitname
409,overall,width,41.0000000000,centimeters
411,painted surface,height,35.5000000000,centimeters
411,painted surface,width,35.5000000000,centimeters
414,overall,height,50.6000000000,centimeters
414,overall,width,31.4000000000,centimeters
417,painted surface,height,62.5000000000,centimeters
417,painted surface,width,42.0000000000,centimeters
422,overall,height,23.2000000000,centimeters
422,overall,width,55.3000000000,centimeters
423,overall,height,60.0000000000,centimeters
423,overall,width,41.9000000000,centimeters
426,overall,height,52.0000000000,centimeters
426,overall,width,32.8000000000,centimeters
431,overall,height,46.0000000000,centimeters
431,overall,width,35.9000000000,centimeters
432,overall,height,90.8000000000,centimeters
432,overall,width,110.5000000000,centimeters
433,overall,height,79.0000000000,centimeters
433,overall,width,51.1000000000,centimeters
434,painted surface,height,88.7000000000,centimeters
434,painted surface,width,42.2000000000,centimeters
435,overall,height,97.8000000000,centimeters
435,overall,width,73.8000000000,centimeters
436,painted surface,height,46.5000000000,centimeters
436,painted surface,width,33.4000000000,centimeters
437,painted surface,height,51.5000000000,centimeters
437,painted surface,width,34.0000000000,centimeters
440,overall,height,66.0000000000,centimeters
440,overall,width,44.0000000000,centimeters
447,overall,height,78.4000000000,centimeters
447,overall,width,64.1000000000,centimeters
453,overall,height,31.4000000000,centimeters
453,overall,width,25.1000000000,centimeters
460,painted surface,height,42.0000000000,centimeters
460,painted surface,width,46.7000000000,centimeters
461,overall,height,109.0000000000,centimeters
461,overall,width,57.0000000000,centimeters
462,overall,depth,9.5000000000,centimeters
462,overall,height,46.5000000000,centimeters
462,overall,width,42.9000000000,centimeters
463,overall,depth,12.1000000000,centimeters
463,overall,height,49.5000000000,centimeters
463,overall,width,45.1000000000,centimeters
468,overall,depth,19.9000000000,centimeters
468,overall,height,53.0000000000,centimeters
468,overall,width,48.8000000000,centimeters
469,overall,height,84.0000000000,centimeters
469,overall,width,56.0000000000,centimeters
470,overall,height,90.0000000000,centimeters
470,overall,width,52.0000000000,centimeters
471,overall,height,95.0000000000,centimeters
471,overall,width,55.0000000000,centimeters
475,overall,height,81.0000000000,centimeters
475,overall,width,65.0000000000,centimeters
478,overall,height,55.0000000000,centimeters
478,overall,width,91.0000000000,centimeters
486,overall,height,27.9000000000,centimeters
486,overall,width,88.9000000000,centimeters
487,overall,height,27.9000000000,centimeters
487,overall,width,41.9000000000,centimeters
488,overall,height,27.9000000000,centimeters
488,overall,width,41.9000000000,centimeters
494,overall,height,55.9000000000,centimeters
494,overall,width,117.0000000000,centimeters
496,painted surface,height,52.3000000000,centimeters
496,painted surface,width,41.5000000000,centimeters
497,painted surface,height,58.1000000000,centimeters
497,painted surface,width,43.2000000000,centimeters
498,overall,height,78.0000000000,centimeters
498,overall,width,51.0000000000,centimeters
499,overall,height,34.9000000000,centimeters
499,overall,width,30.8000000000,centimeters
501,overall,height,37.0000000000,centimeters
501,overall,width,27.0000000000,centimeters
505,overall,height,184.2000000000,centimeters
505,overall,width,188.6000000000,centimeters
509,overall,height,140.3000000000,centimeters
509,overall,width,109.3000000000,centimeters
515,overall,height,145.7000000000,centimeters
526,overall,height,199.4000000000,centimeters
526,overall,width,131.1000000000,centimeters
531,overall,height,101.3000000000,centimeters
531,overall,width,78.7000000000,centimeters
532,overall,depth,1.2000000000,centimeters
532,overall,height,51.8000000000,centimeters
532,overall,width,40.7000000000,centimeters
540,overall,height,33.0000000000,centimeters
540,overall,width,48.3000000000,centimeters
541,overall,height,48.4000000000,centimeters
541,overall,width,32.8000000000,centimeters
542,overall,height,48.0000000000,centimeters
542,overall,width,33.4000000000,centimeters
543,overall,height,33.2000000000,centimeters
543,overall,width,48.0000000000,centimeters
544,overall,height,33.2000000000,centimeters
544,overall,width,48.4000000000,centimeters
545,overall,height,33.2000000000,centimeters
545,overall,width,48.1000000000,centimeters
546,overall,height,47.8000000000,centimeters
546,overall,width,33.2000000000,centimeters
547,overall,height,48.1000000000,centimeters
547,overall,width,32.9000000000,centimeters
548,overall,height,47.8000000000,centimeters
548,overall,width,32.7000000000,centimeters
549,overall,height,48.3000000000,centimeters
549,overall,width,33.1000000000,centimeters
550,overall,height,47.9000000000,centimeters
550,overall,width,33.1000000000,centimeters
551,overall,height,48.7000000000,centimeters
551,overall,width,33.1000000000,centimeters
552,overall,height,48.7000000000,centimeters
552,overall,width,33.2000000000,centimeters
553,overall,height,50.2000000000,centimeters
553,overall,width,34.0000000000,centimeters
554,overall,height,50.3000000000,centimeters
554,overall,width,33.3000000000,centimeters
555,overall,height,48.0000000000,centimeters
555,overall,width,33.3000000000,centimeters
556,overall,height,32.7000000000,centimeters
556,overall,width,48.3000000000,centimeters
557,overall,height,48.3000000000,centimeters
557,overall,width,32.7000000000,centimeters
558,overall,height,48.5000000000,centimeters
558,overall,width,33.0000000000,centimeters
559,overall,height,33.2000000000,centimeters
559,overall,width,48.5000000000,centimeters
560,overall,height,76.2000000000,centimeters
560,overall,width,63.7000000000,centimeters
561,overall,height,213.6000000000,centimeters
561,overall,width,284.2000000000,centimeters
562,overall,height,71.3000000000,centimeters
562,overall,width,57.5000000000,centimeters
563,overall,height,76.2000000000,centimeters
563,overall,width,63.5000000000,centimeters
564,overall,height,76.2000000000,centimeters
564,overall,width,63.5000000000,centimeters
565,overall,height,73.8000000000,centimeters
565,overall,width,61.1000000000,centimeters
566,overall,height,76.2000000000,centimeters
566,overall,width,63.5000000000,centimeters
567,overall,height,77.0000000000,centimeters
567,overall,width,61.0000000000,centimeters
568,overall,height,73.6000000000,centimeters
568,overall,width,61.0000000000,centimeters
569,overall,height,202.0000000000,centimeters
569,overall,width,138.0000000000,centimeters
570,overall,height,128.0000000000,centimeters
570,overall,width,102.0000000000,centimeters
571,overall,height,29.3000000000,centimeters
571,overall,width,23.2000000000,centimeters
572,overall,height,98.5000000000,centimeters
572,overall,width,74.5000000000,centimeters
573,overall,height,123.0000000000,centimeters
573,overall,width,90.0000000000,centimeters
574,overall,height,119.0000000000,centimeters
574,overall,width,150.0000000000,centimeters
575,overall,height,109.0000000000,centimeters
575,overall,width,150.0000000000,centimeters
576,overall,height,114.9000000000,centimeters
576,overall,width,170.2000000000,centimeters
577,overall,height,131.5000000000,centimeters
577,overall,width,97.1000000000,centimeters
578,overall,height,132.0000000000,centimeters
578,overall,width,97.0000000000,centimeters
579,sheet,height,27.3000000000,centimeters
579,sheet,width,40.7000000000,centimeters
580,sheet,height,17.7000000000,centimeters
580,sheet,width,9.6000000000,centimeters
581,sheet,height,17.8000000000,centimeters
581,sheet,width,9.6000000000,centimeters
582,sheet,height,16.0000000000,centimeters
